job_name,result,bmc.circ_sz,bmc.dag_sz,opsem.isderef.not.solve,opsem.isderef.solve,pp.isderef.not.solve,pp.isderef.solve,bmc_time,bmc_solve_time,opsem_crab_time,pp_crab_time,opsem_assert_time,opsem_simplify_time,seahorn_total_time,object_domain_use_odi
hash_iter_delete,TRUE,165,1851,12,0,4,86,22.35,22.35,0.12,1.92,0.01,0.09,22.61,0
hash_iter_done,TRUE,148,935,6,0,6,94,0.18,0.18,0.08,2.5,0.01,0.03,0.31,0
hash_iter_done2,TRUE,121,808,3,0,3,93,0.08,0.08,0.07,1.86,0.01,0.03,0.19,0
hash_iter_next,TRUE,242,1470,15,0,7,95,1.14,1.14,0.14,2.86,0.01,0.03,1.36,0
hash_iter_next2,TRUE,215,1423,12,0,4,94,0.48,0.48,0.09,2.19,0.01,0.02,0.61,0
hash_ptr,TRUE,6,30,0,0,0,20,0.01,0.01,0.01,0.06,0,0.01,0.02,0
hash_string,TRUE,175,730,24,2,24,4,0.24,0.24,0.05,0.12,0,0.01,0.31,0
hash_table_clean_up,TRUE,472,2075,49,3,6,35,0.43,0.43,0.29,0.54,0.01,0.03,0.84,0
hash_table_clear,TRUE,477,2097,49,3,6,58,0.58,0.58,0.32,0.7,0.01,0.03,1.02,0
hash_table_create,TRUE,888,4828,77,34,48,41,5.03,5.03,0.66,1.54,0.01,0.12,6.16,0
hash_table_eq,TRUE,5639,22998,593,6,17,97,15.13,15.13,6.92,11.57,0.01,0.35,27.16,0
hash_table_find,TRUE,729,3221,71,3,11,62,14.41,14.41,0.56,1.54,0.01,0.05,15.25,0
hash_table_find2,TRUE,708,3166,71,0,8,61,8.91,8.91,0.6,1.45,0.01,0.05,9.78,0
hash_table_foreach,TRUE,523,2815,0,0,0,44,5.47,5.47,0.27,0.75,0.01,0.39,6.21,0
hash_table_get_entry_count,TRUE,71,613,0,3,3,45,0.07,0.07,0.03,0.39,0.01,0.02,0.14,0
hash_table_get_entry_count2,TRUE,49,477,0,0,0,44,0.03,0.03,0.02,0.24,0.01,0.02,0.08,0
hash_table_init_bounded,TRUE,147,2468,27,0,27,0,0.91,0.91,0.04,0.11,0.01,0.07,1.08,0
hash_table_init_unbounded,TRUE,132,2374,24,0,24,0,1,1,0.04,0.11,0.01,0.06,1.15,0
hash_table_move,TRUE,179,1009,0,40,40,6,0.06,0.06,0.05,0.2,0.01,0.02,0.18,0
hash_table_put,TRUE,852,4491,81,14,32,43,2.84,2.84,0.74,1.38,0.01,0.09,4.07,0
hash_table_remove,TRUE,529,4069,56,0,13,76,9.5,9.5,0.48,2.86,0.01,0.18,10.38,0
hash_table_swap,TRUE,135,1077,0,6,6,86,0.15,0.15,0.05,1.22,0.01,0.04,0.27,0
is_power_of_two,TRUE,7,38,0,0,0,0,0.01,0.01,0.01,0.03,0,0.01,0.02,0
linked_list_back,TRUE,183,1197,6,15,21,12,0.77,0.77,0.06,0.47,0.01,0.02,0.88,0
linked_list_begin,TRUE,107,576,6,15,21,12,0.03,0.03,0.03,0.43,0.01,0.01,0.09,0
linked_list_end,TRUE,107,573,6,15,21,12,0.03,0.03,0.03,0.44,0.01,0.01,0.1,0
linked_list_front,TRUE,243,1506,10,23,33,12,1.19,1.19,0.08,0.51,0.01,0.03,1.33,0
linked_list_init,TRUE,6,30,0,0,0,0,0.01,0.01,0.01,0.03,0,0,0.02,0
linked_list_insert_after,TRUE,8,43,0,0,1,0,0.01,0.01,0.01,0.04,0.01,0.01,0.03,0
linked_list_insert_before,TRUE,8,43,0,0,1,0,0.01,0.01,0.01,0.05,0.01,0.01,0.03,0
linked_list_next,TRUE,9,49,0,0,2,6,0.01,0.01,0.01,0.04,0,0.01,0.03,0
linked_list_node_reset,TRUE,8,65,0,0,0,2,0.09,0.09,0.01,0.03,0.01,0.01,0.11,0
linked_list_pop_back,TRUE,416,2271,32,22,65,0,1.85,1.85,0.13,0.7,0.01,0.04,2.09,0
linked_list_pop_front,TRUE,444,2364,32,22,65,0,1.76,1.76,0.16,0.74,0.01,0.04,2.03,0
linked_list_prev,TRUE,13,73,0,0,6,2,0.01,0.01,0.01,0.05,0.01,0.01,0.03,0
linked_list_push_back,TRUE,383,2177,6,42,59,0,1.33,1.33,0.09,0.67,0.01,0.03,1.49,0
linked_list_push_front,TRUE,409,2365,21,25,62,0,1.94,1.94,0.14,0.7,0.01,0.04,2.18,0
linked_list_rbegin,TRUE,254,1560,8,25,33,12,0.51,0.51,0.07,0.47,0.01,0.02,0.63,0
linked_list_remove,TRUE,9,49,0,0,2,0,0.01,0.01,0.01,0.04,0.01,0.01,0.03,0
linked_list_rend,TRUE,189,1224,6,17,23,12,0.71,0.71,0.05,0.46,0.01,0.02,0.82,0
linked_list_swap_contents,TRUE,942,7313,5,103,134,24,8.33,8.33,0.29,1.7,0.01,0.47,9.32,0
mul_size_checked,TRUE,28,147,0,0,0,0,0.17,0.17,0.01,0.03,0,0.01,0.19,0
mul_size_saturating,TRUE,34,188,0,0,0,0,0.18,0.18,0.01,0.03,0.01,0.01,0.21,0
