job_name,result,bmc.circ_sz,bmc.dag_sz,opsem.isderef.not.solve,opsem.isderef.solve,pp.isderef.not.solve,pp.isderef.solve,bmc_time,bmc_solve_time,opsem_crab_time,pp_crab_time,opsem_assert_time,opsem_simplify_time,seahorn_total_time,object_domain_use_odi,opsem_crab_solve_isderef,join_count,join_time,base_join_count,base_join_time
byte_cursor_advance,TRUE,121,592,2,1,0,0,0.09,0.09,0.01,0,0.01,0.01,0.12,0,0.01,109,0,7,0
byte_cursor_advance_nospec,TRUE,132,686,2,1,0,0,0.13,0.13,0.01,0,0.01,0.01,0.16,0,0.01,119,0.001,8,0
byte_cursor_advance_nospec2,TRUE,100,492,0,0,0,0,0.07,0.07,0.02,0,0.01,0.01,0.11,0,0,91,0.001,7,0
byte_cursor_advance2,TRUE,90,411,0,0,0,0,0.02,0.02,0.01,0,0.01,0.01,0.04,0,0,81,0,6,0
byte_cursor_compare_lexical,TRUE,312,1672,0,18,0,0,0.58,0.58,0.04,0,0.01,0.01,0.65,1,0.01,310,0.006,71,0
byte_cursor_compare_lexical2,TRUE,316,1588,0,28,0,0,0.34,0.34,0.03,0,0.01,0.01,0.4,1,0.01,324,0.007,92,0
byte_cursor_compare_lookup,TRUE,760,3430,2,130,0,0,0.65,0.65,0.09,0,0.01,0.01,0.82,1,0.03,865,0.016,143,0
byte_cursor_compare_lookup2,TRUE,701,3141,2,124,0,0,0.57,0.57,0.09,0,0.01,0.01,0.73,1,0.04,806,0.02,161,0
byte_cursor_eq,TRUE,296,1567,0,18,0,0,0.55,0.55,0.03,0,0.01,0.01,0.61,1,0.01,293,0.003,8,0
byte_cursor_eq_byte_buf,TRUE,383,1901,13,5,0,0,0.36,0.36,0.04,0,0.01,0.01,0.44,0,0.01,358,0.004,36,0
byte_cursor_eq_byte_buf_ignore_case,TRUE,369,3376,12,4,0,0,0.88,0.88,0.05,0,0.01,0.02,0.98,0,0.01,346,0.006,35,0
byte_cursor_eq_byte_buf_ignore_case2,TRUE,296,3015,9,1,0,0,0.47,0.47,0.02,0,0.01,0.02,0.54,0,0.01,278,0.001,38,0
byte_cursor_eq_byte_buf2,TRUE,324,1606,0,12,0,0,0.26,0.26,0.04,0,0.01,0.01,0.33,0,0.01,304,0.005,16,0
byte_cursor_eq_c_str,TRUE,102,601,1,10,0,0,0.08,0.08,0.02,0,0,0.01,0.11,0,0.01,82,0.001,0,0
byte_cursor_eq_c_str_ignore_case,TRUE,102,601,1,10,0,0,0.08,0.08,0.01,0,0,0.01,0.11,0,0.01,82,0,0,0
byte_cursor_eq_c_str_ignore_case2,TRUE,102,606,1,10,0,0,0.08,0.08,0.01,0,0,0.01,0.1,0,0.01,82,0,0,0
byte_cursor_eq_c_str2,TRUE,102,606,1,10,0,0,0.08,0.08,0.02,0,0,0.01,0.12,0,0.01,82,0.001,0,0
byte_cursor_eq_ignore_case,TRUE,276,2938,0,16,0,0,0.98,0.98,0.03,0,0.01,0.02,1.06,1,0.01,275,0.009,65,0
byte_cursor_eq_ignore_case2,TRUE,221,2663,0,10,0,0,0.56,0.56,0.03,0,0.01,0.02,0.64,1,0.01,220,0.005,86,0
byte_cursor_eq2,TRUE,241,1289,0,12,0,0,0.4,0.4,0.03,0,0,0.01,0.45,1,0.01,238,0.004,29,0
byte_cursor_from_array,TRUE,44,200,0,0,0,0,0.01,0.01,0.01,0,0.01,0.01,0.03,0,0,32,0,0,0
byte_cursor_from_buf,TRUE,198,887,3,0,0,0,0.04,0.04,0.01,0,0.01,0.01,0.08,0,0.01,175,0,5,0
byte_cursor_from_buf2,TRUE,154,650,0,0,0,0,0.03,0.03,0.02,0,0.01,0.01,0.07,0,0,137,0.001,12,0
byte_cursor_from_c_str,TRUE,313,1403,1,32,0,0,0.2,0.2,0.02,0,0,0.01,0.23,0,0.01,287,0.001,0,0
byte_cursor_from_string,TRUE,76,501,3,10,0,0,0.02,0.02,0.01,0,0.01,0.01,0.06,0,0.01,72,0.001,4,0
byte_cursor_left_trim_pred,TRUE,184,890,0,3,0,0,0.03,0.03,0.02,0,0,0.01,0.07,0,0.01,174,0.001,22,0
byte_cursor_left_trim_pred2,TRUE,155,726,0,0,0,0,0.03,0.03,0.01,0,0.01,0.01,0.06,0,0,146,0.001,26,0
byte_cursor_read,TRUE,154,773,6,1,0,0,0.29,0.29,0.03,0,0.01,0.02,0.35,0,0.01,134,0.003,11,0
byte_cursor_read_and_fill_buffer,TRUE,270,1278,7,1,0,0,0.34,0.34,0.04,0,0.01,0.03,0.42,0,0.01,242,0.004,15,0
byte_cursor_read_and_fill_buffer2,TRUE,224,1056,4,0,0,0,0.1,0.1,0.03,0,0.01,0.02,0.16,0,0.01,203,0.002,14,0
byte_cursor_read_be16,TRUE,115,631,2,1,0,0,0.05,0.05,0.02,0,0.01,0.02,0.1,0,0.01,100,0.001,7,0
byte_cursor_read_be16_2,TRUE,96,541,2,0,0,0,0.05,0.05,0.02,0,0.01,0.02,0.1,0,0.01,84,0.001,7,0
byte_cursor_read_be32,TRUE,115,657,2,1,0,0,0.07,0.07,0.01,0,0.01,0.02,0.1,0,0.01,100,0.001,7,0
byte_cursor_read_be32_2,TRUE,96,567,2,0,0,0,0.06,0.06,0.02,0,0.01,0.02,0.1,0,0.01,84,0.001,7,0
byte_cursor_read_be64,TRUE,115,708,2,1,0,0,0.1,0.1,0.01,0,0.01,0.02,0.14,0,0.01,100,0.001,7,0
byte_cursor_read_be64_2,TRUE,96,618,2,0,0,0,0.1,0.1,0.02,0,0.01,0.02,0.15,0,0.01,84,0.001,7,0
byte_cursor_read_u8,TRUE,125,635,2,3,0,0,0.07,0.07,0.01,0,0.01,0.01,0.11,0,0.01,108,0.001,7,0
byte_cursor_read_u8_2,TRUE,107,547,2,2,0,0,0.07,0.07,0.02,0,0.01,0.02,0.11,0,0.01,92,0.001,8,0
byte_cursor_read2,TRUE,122,625,4,0,0,0,0.1,0.1,0.02,0,0.01,0.02,0.14,0,0.01,106,0.002,10,0
byte_cursor_right_trim_pred,TRUE,208,958,0,14,0,0,0.03,0.03,0.03,0,0.01,0.01,0.09,0,0.01,208,0.004,23,0
byte_cursor_right_trim_pred2,TRUE,180,795,0,11,0,0,0.01,0.01,0.02,0,0.01,0.01,0.05,0,0.01,180,0.002,26,0
byte_cursor_satisfies_pred,TRUE,166,782,0,3,0,0,0.03,0.03,0.01,0,0.01,0.01,0.06,0,0.01,156,0.001,20,0
byte_cursor_satisfies_pred2,TRUE,133,608,0,0,0,0,0.02,0.02,0.01,0,0.01,0.01,0.05,0,0,125,0.002,22,0
byte_cursor_trim_pred,TRUE,313,1453,10,4,0,0,0.25,0.25,0.03,0,0,0.01,0.32,0,0.01,303,0.004,53,0
byte_cursor_trim_pred2,TRUE,285,1290,10,1,0,0,0.25,0.25,0.03,0,0.01,0.01,0.31,0,0.01,275,0.005,57,0
hash_array_ignore_case,TRUE,107,436,10,1,0,0,0.03,0.03,0.01,0,0.01,0.01,0.05,0,0.01,96,0.001,20,0
hash_byte_cursor_ptr,TRUE,189,850,0,21,0,0,0.23,0.23,0.02,0,0,0.01,0.26,0,0.01,210,0.002,13,0
