job_name,result,bmc.circ_sz,bmc.dag_sz,crab.opsem.isderef.not.solve,crab.opsem.isderef.solve,crab.pp.isderef.not.solve,crab.pp.isderef.solve,bmc_time,bmc_solve_time,opsem_crab_time,pp_crab_time,opsem_assert_time,opsem_simplify_time,seahorn_total_time,object_domain_use_odi
linked_list_back,FALSE,20,102,0,0,21,12,0.01,0.01,0.01,3.11,0.00,0.01,0.02,0
hash_table_put,TRUE,830,4310,77,16,34,43,12.20,1.88,8.31,7.84,0.01,0.11,12.29,0
linked_list_begin,FALSE,24,117,0,0,21,12,0.02,0.01,0.01,3.21,0.00,0.01,0.03,0
linked_list_end,FALSE,24,117,0,0,21,12,0.02,0.01,0.01,3.10,0.01,0.01,0.03,0
linked_list_init,TRUE,6,30,0,0,0,0,0.02,0.01,0.00,0.07,0.00,0,0.02,0
linked_list_remove,TRUE,9,49,0,0,2,0,0.03,0.01,0.01,0.09,0.01,0.01,0.04,0
linked_list_front,FALSE,20,102,0,0,33,12,0.02,0.01,0.01,3.89,0.00,0.01,0.02,0
hash_table_remove,TRUE,503,3525,50,1,14,77,9.93,4.30,4.26,8.31,0.01,0.16,9.98,0
linked_list_prev,TRUE,6,30,0,0,0,8,0.02,0.01,0.01,0.10,0.01,0,0.02,0
linked_list_next,TRUE,6,30,0,0,0,8,0.02,0.01,0.01,0.10,0.01,0,0.02,0
linked_list_pop_front,TRUE,7,36,0,0,29,36,0.02,0.01,0.01,1.13,0,0,0.02,0
linked_list_node_reset,TRUE,8,65,0,0,0,2,0.05,0.04,0.01,0.03,0.01,0.01,0.05,0
linked_list_push_back,FALSE,19,96,0,0,8,51,0.03,0.02,0.01,0.80,0,0.01,0.03,0
linked_list_push_front,FALSE,19,96,0,0,20,42,0.02,0.01,0.01,1.10,0,0.01,0.03,0
linked_list_insert_after,TRUE,8,43,0,0,1,0,0.03,0.01,0.02,0.08,0.01,0.01,0.04,0
linked_list_insert_before,TRUE,8,43,0,0,1,0,0.03,0.01,0.02,0.08,0.01,0.01,0.03,0
linked_list_pop_back,TRUE,7,36,0,0,56,9,0.01,0.01,0.00,5.87,0,0,0.02,0
linked_list_rbegin,FALSE,19,93,0,0,33,12,0.02,0.01,0.01,4.21,0.00,0.01,0.03,0
linked_list_rend,FALSE,20,102,0,0,23,12,0.02,0.01,0.01,3.54,0.01,0.01,0.02,0
string_bytes,TRUE,24,186,3,0,3,6,0.18,0.14,0.02,0.06,0.01,0.01,0.19,0
string_compare,TRUE,330,2025,43,0,23,6,4.48,3.80,0.53,0.25,0.01,0.04,4.51,0
