job_name,result,bmc.circ_sz,bmc.dag_sz,crab.isderef.not.solve,crab.isderef.solve,crab.pp.isderef.not.solve,crab.pp.isderef.solve,bmc_time,bmc_solve_time,opsem_crab_time,pp_crab_time,opsem_assert_time,opsem_simplify_time,seahorn_total_time,object_domain_use_odi
priority_queue_push,TRUE,581,4152,9,8,0,0,3.86,3.86,0.9,0,0.01,0.57,5.68,0
priority_queue_push_ref,TRUE,582,4165,9,8,0,0,4.43,4.43,0.98,0,0.01,0.62,6.41,0
priority_queue_remove,TRUE,760,3629,3,3,0,0,7.47,7.47,0.57,0,0.01,0.04,8.3,0
priority_queue_s_remove_node,TRUE,780,5319,25,16,0,0,4.07,4.07,1.73,0,0.01,0.22,6.72,0
priority_queue_s_sift_down,TRUE,1547,9645,1,151,0,0,0.31,0.31,0.32,0,0.01,71,74.78,0
priority_queue_s_sift_either,TRUE,862,4487,1,61,0,0,0.38,0.38,0.26,0,0.01,0.08,0.85,0
priority_queue_s_sift_up,TRUE,664,3434,1,31,0,0,0.32,0.32,0.25,0,0.01,0.06,0.73,0
priority_queue_s_swap,TRUE,619,3733,0,41,0,0,28.34,28.34,0.24,0,0.01,0.08,28.75,0
priority_queue_size,TRUE,437,2169,0,6,0,0,0.56,0.56,0.76,0,0.01,0.03,1.51,0
priority_queue_top,TRUE,445,2215,0,6,0,0,0.6,0.6,0.79,0,0.01,0.03,1.59,0
ptr_eq,TRUE,6,30,0,0,0,0,0.01,0.01,0.01,0,0.01,0.01,0.03,0
ring_buffer_acquire,TRUE,570,2617,0,0,0,0,14.12,14.12,1.04,0,0.01,0.06,15.35,0
ring_buffer_acquire_up_to,TRUE,573,2675,0,0,0,0,9.97,9.97,1.08,0,0.01,0.05,11.23,0
ring_buffer_acquire_up_to2,TRUE,537,2500,0,0,0,0,6.88,6.88,1.03,0,0.01,0.06,8.11,0
ring_buffer_acquire2,TRUE,534,2437,0,0,0,0,11.07,11.07,1,0,0.01,0.05,12.26,0
ring_buffer_buf_belongs_to_pool,TRUE,465,2133,0,0,0,0,24.29,24.29,0.82,0,0.01,0.04,25.24,0
ring_buffer_buf_belongs_to_pool2,TRUE,392,1776,0,0,0,0,27.55,27.55,0.55,0,0.01,0.04,28.21,0
ring_buffer_clean_up,TRUE,86,461,0,0,0,0,0.15,0.15,0.09,0,0.01,0.01,0.27,0
ring_buffer_init,TRUE,102,462,0,0,0,0,0.04,0.04,0.09,0,0.01,0.01,0.17,0
ring_buffer_release,TRUE,428,1953,0,0,0,0,10.42,10.42,0.89,0,0.01,0.04,11.46,0
ring_buffer_release2,TRUE,428,1953,0,0,0,0,13.4,13.4,0.9,0,0.01,0.04,14.48,0
round_up_to_power_of_two,TRUE,27,644,0,0,0,0,0.12,0.12,0.01,0,0.01,0.03,0.17,0
string_bytes,TRUE,43,254,3,6,0,0,0.13,0.13,0.02,0,0,0.01,0.19,0
string_compare,TRUE,198,1094,19,10,0,0,1.8,1.8,0.08,0,0.01,0.02,1.97,0
string_destroy,TRUE,34,220,3,2,0,0,0.04,0.04,0.02,0,0,0.01,0.09,0
string_destroy_secure,TRUE,58,846,5,4,0,0,0.43,0.43,0.04,0,0.01,0.02,0.52,0
string_eq,TRUE,197,1050,23,10,0,0,0.9,0.9,0.09,0,0.01,0.02,1.09,0
string_eq_byte_buf,TRUE,240,1139,12,9,0,0,0.17,0.17,0.13,0,0.01,0.02,0.4,0
string_eq_byte_buf_ignore_case,TRUE,185,1163,10,4,0,0,0.14,0.14,0.1,0,0.01,0.02,0.33,0
string_eq_byte_cursor,TRUE,155,779,13,4,0,0,0.16,0.16,0.08,0,0.01,0.02,0.3,0
