job_name,result,pp_loc,opsem_loc,bmc_circuit_size,bmc_dag_size,opsem.isderef.not.solve,opsem.isderef.solve,pp.isderef.not.solve,pp.isderef.solve,opsem_crab_time,opsem_crab_solve_time,pp_crab_solve_time,pp_crab_time,bmc_time,bmc_solve_time,cda_time,gssa_time,opsem_assert_time,opsem_simp_time,seahorn_total_time
byte_buf_from_array,TRUE,928,696,57,265,n/a,18,n/a,n/a,0.01,0.01,n/a,n/a,0.03,0.01,n/a,n/a,0.01,0.01,0.04
byte_buf_from_c_str,TRUE,1851,1627,308,1487,n/a,52,n/a,n/a,0.01,0.01,n/a,n/a,0.32,0.28,n/a,n/a,0.01,0.01,0.34
byte_buf_from_empty_array,TRUE,925,696,57,265,n/a,18,n/a,n/a,0.01,0.01,n/a,n/a,0.04,0.01,n/a,n/a,0.01,0.01,0.05
byte_buf_init,TRUE,1129,821,72,346,n/a,28,n/a,n/a,0.01,0.01,n/a,n/a,0.06,0.02,n/a,n/a,0.01,0.01,0.07
byte_buf_init_copy,TRUE,2213,1567,291,1694,n/a,100,n/a,n/a,0.05,0.03,n/a,n/a,0.56,0.45,n/a,n/a,0.01,0.03,0.59
byte_buf_init_copy_from_cursor,TRUE,1755,1162,130,651,2,54,n/a,n/a,0.03,0.02,n/a,n/a,0.13,0.05,n/a,n/a,0.01,0.03,0.14
byte_buf_reserve,TRUE,1549,1008,126,569,n/a,43,n/a,n/a,0.01,0.01,n/a,n/a,0.08,0.02,n/a,n/a,0.01,0.02,0.10
byte_buf_reserve_relative,TRUE,2090,1319,219,1012,n/a,75,n/a,n/a,0.02,0.01,n/a,n/a,0.07,0.02,n/a,n/a,0.01,0.01,0.09
byte_buf_reset,TRUE,1070,869,80,380,n/a,20,n/a,n/a,0.01,0.01,n/a,n/a,0.06,0.03,n/a,n/a,0.01,0.01,0.08
byte_buf_secure_zero,TRUE,1211,947,116,540,n/a,37,n/a,n/a,0.02,0.01,n/a,n/a,0.08,0.05,n/a,n/a,0.01,0.01,0.10
byte_buf_write,TRUE,1722,1284,202,962,2,67,n/a,n/a,0.03,0.02,n/a,n/a,0.15,0.08,n/a,n/a,0.01,0.02,0.16
byte_buf_write_be16,TRUE,1626,1193,179,858,n/a,69,n/a,n/a,0.02,0.02,n/a,n/a,0.09,0.03,n/a,n/a,0.01,0.01,0.11
byte_buf_write_be32,TRUE,1626,1211,179,858,n/a,69,n/a,n/a,0.01,0.02,n/a,n/a,0.08,0.03,n/a,n/a,0.01,0.01,0.09
byte_buf_write_be64,TRUE,1623,1201,179,856,n/a,69,n/a,n/a,0.04,0.03,n/a,n/a,0.17,0.05,n/a,n/a,0.01,0.02,0.19
byte_buf_write_from_whole_buffer,TRUE,2485,1719,349,1600,2,125,n/a,n/a,0.06,0.05,n/a,n/a,0.27,0.12,n/a,n/a,0.01,0.03,0.30
byte_buf_write_from_whole_cursor,TRUE,2311,1590,273,1289,2,104,n/a,n/a,0.04,0.03,n/a,n/a,0.22,0.11,n/a,n/a,0.01,0.03,0.24
byte_buf_write_from_whole_string,TRUE,2080,1562,278,1658,17,68,n/a,n/a,0.04,0.02,n/a,n/a,0.64,0.54,n/a,n/a,0.01,0.03,0.67
byte_buf_write_u8,TRUE,1588,1176,179,854,n/a,69,n/a,n/a,0.03,0.02,n/a,n/a,0.09,0.02,n/a,n/a,0.01,0.01,0.11
byte_cursor_advance,TRUE,1198,882,122,601,n/a,39,n/a,n/a,0.01,0.01,n/a,n/a,0.12,0.08,n/a,n/a,0.01,0.01,0.13
byte_cursor_advance_nospec,TRUE,1276,950,131,672,2,41,n/a,n/a,0.02,0.01,n/a,n/a,0.12,0.09,n/a,n/a,0.01,0.01,0.14
byte_cursor_compare_lexical,TRUE,2461,1562,320,1690,n/a,105,n/a,n/a,0.04,0.02,n/a,n/a,0.71,0.62,n/a,n/a,0.01,0.01,0.73
byte_cursor_compare_lookup,TRUE,2180,2398,818,3564,n/a,211,n/a,n/a,0.17,0.11,n/a,n/a,1.70,1.35,n/a,n/a,0.01,0.02,1.75
byte_cursor_eq,TRUE,1886,1482,302,1576,n/a,89,n/a,n/a,0.05,0.03,n/a,n/a,0.70,0.60,n/a,n/a,0.01,0.01,0.73
byte_cursor_eq_byte_buf,TRUE,2269,1765,380,1895,n/a,116,n/a,n/a,0.07,0.03,n/a,n/a,0.33,0.20,n/a,n/a,0.01,0.02,0.37
byte_cursor_eq_byte_buf_ignore_case,TRUE,2042,1729,365,3409,n/a,114,n/a,n/a,0.08,0.05,n/a,n/a,1.05,0.87,n/a,n/a,0.01,0.03,1.08
byte_cursor_eq_c_str,TRUE,1603,720,96,572,n/a,14,n/a,n/a,0.01,0.01,n/a,n/a,0.04,0.01,n/a,n/a,n/a,0.01,0.06
byte_cursor_eq_c_str_ignore_case,TRUE,1513,720,96,572,n/a,14,n/a,n/a,0.01,0.01,n/a,n/a,0.06,0.01,n/a,n/a,n/a,0.01,0.08
