job_name,pp_loc,opsem_loc,result,bmc_circuit_size,bmc_dag_size,opsem.isderef.not.solve,opsem.isderef.solve,pp.isderef.not.solve,pp.isderef.solve,opsem_crab_time,pp_crab_time,bmc_time,bmc_solve_time,cda_time,gssa_time,opsem_assert_time,opsem_simp_time,seahorn_total_time
linked_list_pop_back,n/a,n/a,TRUE,7,36,n/a,n/a,56,9,0.01,0.52,0.02,0.01,n/a,n/a,n/a,n/a,0.03
string_bytes,n/a,n/a,TRUE,20,171,2,n/a,2,5,0.01,0.01,0.18,0.14,n/a,n/a,0.01,0.01,0.20
hash_table_find,n/a,n/a,TRUE,707,3216,71,3,11,46,0.31,0.73,2.58,2.11,n/a,n/a,0.01,0.05,2.63
string_eq_byte_buf,n/a,n/a,TRUE,240,1385,18,n/a,11,9,0.04,0.08,0.62,0.54,n/a,n/a,0.01,0.02,0.63
string_eq,n/a,n/a,TRUE,310,1921,41,n/a,21,6,0.06,0.05,1.72,1.61,n/a,n/a,0.01,0.03,1.74
hash_table_foreach,n/a,n/a,TRUE,508,2598,n/a,n/a,n/a,35,0.31,1.37,3.64,2.74,n/a,n/a,0.01,0.55,3.69
string_eq_byte_cursor,n/a,n/a,TRUE,219,1297,19,n/a,12,9,0.04,0.05,0.59,0.53,n/a,n/a,0.01,0.01,0.60
string_eq_byte_buf_ignore_case,n/a,n/a,TRUE,204,2938,16,1,9,4,0.05,0.06,1.43,1.32,n/a,n/a,0.01,0.03,1.46
string_compare,n/a,n/a,TRUE,314,1982,39,n/a,19,6,0.04,0.05,2.41,2.31,n/a,n/a,0.01,0.03,2.42
hash_table_create,n/a,n/a,TRUE,844,4714,78,25,44,44,0.37,0.87,4.76,4.11,n/a,n/a,0.01,0.12,4.82
hash_table_put,n/a,n/a,TRUE,821,4290,81,14,36,46,0.42,0.85,4.36,3.69,n/a,n/a,0.01,0.09,4.41
string_new_from_array,n/a,n/a,TRUE,56,454,n/a,3,3,12,0.01,0.03,0.26,0.22,n/a,n/a,0.01,0.01,0.27
string_new_from_c_str,n/a,n/a,TRUE,192,1018,n/a,3,3,30,0.01,0.04,0.10,0.07,n/a,n/a,0.01,0.02,0.11
string_destroy,n/a,n/a,TRUE,23,191,2,n/a,2,3,0.01,0.01,0.05,0.03,n/a,n/a,n/a,0.01,0.06
string_eq_ignore_case,n/a,n/a,TRUE,362,4809,46,n/a,14,6,0.08,0.04,1.15,0.97,n/a,n/a,0.01,0.05,1.18
string_eq_c_str,n/a,n/a,TRUE,359,2117,7,1,8,7,0.01,0.04,1.28,1.23,n/a,n/a,0.01,0.02,1.30
hash_table_remove,n/a,n/a,TRUE,588,3818,75,n/a,20,62,0.29,1.15,4.45,3.89,n/a,n/a,0.01,0.16,4.49
string_destroy_secure,n/a,n/a,TRUE,46,902,4,n/a,4,4,0.01,0.02,0.44,0.40,n/a,n/a,0.01,0.02,0.45
priority_queue_init_static,n/a,n/a,TRUE,22,105,n/a,n/a,n/a,2,0.01,0.11,0.06,0.04,n/a,n/a,0.01,0.01,0.07
string_new_from_string,n/a,n/a,TRUE,100,1032,9,8,17,10,0.02,0.04,1.49,1.43,n/a,n/a,0.01,0.03,1.50
priority_queue_init_dynamic,n/a,n/a,TRUE,29,134,n/a,n/a,n/a,6,0.01,0.13,0.06,0.05,n/a,n/a,0.01,0.01,0.08
priority_queue_clean_up,n/a,n/a,TRUE,63,318,n/a,1,2,2,0.01,0.12,0.06,0.02,n/a,n/a,n/a,0.01,0.08
string_eq_byte_cursor_ignore_case,n/a,n/a,TRUE,256,4141,16,7,9,4,0.03,0.05,3.45,3.29,n/a,n/a,0.01,0.07,3.48
priority_queue_size,n/a,n/a,TRUE,154,724,n/a,6,6,3,0.02,0.51,0.40,0.36,n/a,n/a,0.01,0.01,0.42
ring_buffer_clean_up,n/a,n/a,TRUE,32,167,n/a,n/a,n/a,n/a,0.01,0.05,0.04,0.01,n/a,n/a,0.01,0.01,0.05
priority_queue_capacity,n/a,n/a,TRUE,150,704,n/a,6,6,3,0.02,0.46,0.29,0.26,n/a,n/a,0.01,0.01,0.31
ring_buffer_init,n/a,n/a,TRUE,18,83,n/a,n/a,n/a,n/a,0.01,0.05,0.04,0.02,n/a,n/a,0.01,0.01,0.06
priority_queue_top,n/a,n/a,TRUE,154,727,n/a,6,6,3,0.02,0.46,0.41,0.37,n/a,n/a,0.01,0.01,0.43
string_eq_c_str_ignore_case,n/a,n/a,TRUE,348,4675,6,1,7,7,0.02,0.03,3.39,3.30,n/a,n/a,0.01,0.04,3.41
priority_queue_s_remove_node,n/a,n/a,TRUE,352,3016,25,20,41,7,0.06,1.07,1.98,1.79,n/a,n/a,0.01,0.09,2.01
priority_queue_pop,n/a,n/a,TRUE,244,1021,4,2,6,10,0.03,1.60,0.82,0.77,n/a,n/a,0.01,0.01,0.84
priority_queue_remove,n/a,n/a,TRUE,227,982,4,2,6,10,0.03,1.69,1.10,1.05,n/a,n/a,0.01,0.01,1.12
priority_queue_s_sift_either,n/a,n/a,TRUE,501,3457,37,36,61,8,0.08,2.99,1.23,1.00,n/a,n/a,0.01,0.10,1.27
priority_queue_push,n/a,n/a,TRUE,217,1480,5,12,17,4,0.02,0.76,3.56,3.50,n/a,n/a,0.01,0.02,3.58
priority_queue_push_ref,n/a,n/a,TRUE,217,1652,5,12,17,4,0.02,0.53,3.67,3.59,n/a,n/a,0.01,0.03,3.70
ring_buffer_release,n/a,n/a,TRUE,165,664,n/a,n/a,n/a,n/a,0.07,0.41,5.54,5.44,n/a,n/a,0.01,0.01,5.57
priority_queue_s_swap,n/a,n/a,TRUE,312,1939,24,19,39,4,0.06,0.73,9.97,9.84,n/a,n/a,0.01,0.04,10.00
huffman_test_transitive,n/a,n/a,TRUE,87,440,4,n/a,28,48,0.02,1.82,0.04,0.01,n/a,n/a,0.01,0.01,0.07
ring_buffer_acquire_up_to,n/a,n/a,TRUE,208,926,n/a,n/a,n/a,n/a,0.07,0.73,7.67,7.56,n/a,n/a,0.01,0.02,7.70
hash_table_eq,n/a,n/a,TRUE,5586,23331,593,6,17,73,3.78,6.14,21.21,14.73,n/a,n/a,0.01,0.37,21.63
sanitize_pem,n/a,n/a,TRUE,139,695,1,15,61,18,0.02,2.68,0.09,0.06,n/a,n/a,0.01,0.01,0.11
input_stream_from_cursor,n/a,n/a,TRUE,74,414,6,n/a,7,47,0.05,0.75,0.30,0.15,n/a,n/a,0.01,0.05,0.32
ring_buffer_buf_belongs_to_pool,n/a,n/a,TRUE,128,586,n/a,n/a,n/a,n/a,0.02,0.42,19.53,19.49,n/a,n/a,0.01,0.01,19.55
ecc,n/a,n/a,TRUE,767,4514,n/a,86,187,194,0.03,7.13,0.21,0.02,n/a,n/a,0.01,0.08,0.27
rsa,n/a,n/a,TRUE,1816,10864,n/a,n/a,n/a,279,0.05,0.25,0.37,0.03,n/a,n/a,0.01,0.13,0.46
