job_name,result,pp_loc,opsem_loc,bmc_circuit_size,bmc_dag_size,opsem.isderef.not.solve,opsem.isderef.solve,pp.isderef.not.solve,pp.isderef.solve,opsem_crab_time,opsem_crab_solve_time,pp_crab_solve_time,pp_crab_time,bmc_time,bmc_solve_time,cda_time,gssa_time,opsem_assert_time,opsem_simp_time,seahorn_total_time
array_list_push_front,TRUE,2685,1841,498,2070,8,113,n/a,n/a,0.07,0.06,n/a,n/a,1.26,1.03,n/a,n/a,0.01,0.07,1.29
array_list_set_at,TRUE,2632,1846,487,2060,2,112,n/a,n/a,0.14,0.08,n/a,n/a,2.17,1.79,n/a,n/a,0.01,0.11,2.21
array_list_shrink_to_fit,TRUE,2391,1494,435,1709,6,98,n/a,n/a,0.05,0.03,n/a,n/a,1.70,1.58,n/a,n/a,0.01,0.04,1.72
array_list_sort,TRUE,1758,1295,328,1288,n/a,78,n/a,n/a,0.05,0.03,n/a,n/a,0.30,0.20,n/a,n/a,0.01,0.01,0.32
array_list_swap,TRUE,2124,1608,395,1823,14,82,n/a,n/a,0.04,0.02,n/a,n/a,3.82,3.72,n/a,n/a,0.01,0.02,3.84
array_list_swap_contents,TRUE,2865,1915,619,2386,n/a,149,n/a,n/a,0.16,0.07,n/a,n/a,1.20,0.94,n/a,n/a,0.01,0.02,1.24
byte_buf_advance,TRUE,2311,1569,476,1816,n/a,103,n/a,n/a,0.06,0.03,n/a,n/a,0.19,0.06,n/a,n/a,0.01,0.02,0.23
byte_buf_append,TRUE,1764,1178,293,1115,2,62,n/a,n/a,0.03,0.02,n/a,n/a,0.12,0.05,n/a,n/a,0.01,0.01,0.15
byte_buf_append_dynamic,TRUE,2373,1423,385,1483,6,85,n/a,n/a,0.05,0.03,n/a,n/a,0.16,0.06,n/a,n/a,0.01,0.01,0.18
byte_buf_append_with_lookup,TRUE,1881,1610,561,2234,10,119,n/a,n/a,0.11,0.06,n/a,n/a,0.36,0.13,n/a,n/a,0.01,0.03,0.39
byte_buf_cat,TRUE,4241,2810,1137,4246,6,257,n/a,n/a,0.35,0.18,n/a,n/a,0.78,0.17,n/a,n/a,0.01,0.03,0.85
byte_buf_clean_up,TRUE,922,700,106,409,n/a,21,n/a,n/a,0.01,0.01,n/a,n/a,0.03,0.01,n/a,n/a,0.01,0.01,0.04
byte_buf_clean_up_secure,TRUE,991,750,123,472,n/a,25,n/a,n/a,0.02,0.01,n/a,n/a,0.07,0.02,n/a,n/a,0.01,0.01,0.08
byte_buf_eq,TRUE,2547,2224,903,3743,n/a,166,n/a,n/a,0.13,0.05,n/a,n/a,1.24,1.03,n/a,n/a,0.01,0.02,1.29
byte_buf_eq_c_str,TRUE,1990,819,121,660,n/a,15,n/a,n/a,0.01,0.01,n/a,n/a,0.11,0.08,n/a,n/a,n/a,0.01,0.12
byte_buf_eq_c_str_ignore_case,TRUE,1900,819,121,660,n/a,15,n/a,n/a,0.01,0.01,n/a,n/a,0.10,0.07,n/a,n/a,n/a,0.01,0.12
byte_buf_eq_ignore_case,TRUE,2320,1938,706,4425,n/a,142,n/a,n/a,0.13,0.07,n/a,n/a,1.35,1.09,n/a,n/a,0.01,0.04,1.38
byte_buf_from_array,TRUE,928,696,90,349,n/a,18,n/a,n/a,0.01,0.01,n/a,n/a,0.03,0.01,n/a,n/a,0.01,0.01,0.04
