job_name,result,pp_loc,opsem_loc,bmc_circuit_size,bmc_dag_size,opsem.isderef.not.solve,opsem.isderef.solve,pp.isderef.not.solve,pp.isderef.solve,opsem_crab_time,opsem_crab_solve_time,pp_crab_solve_time,pp_crab_time,bmc_time,bmc_solve_time,cda_time,gssa_time,opsem_assert_time,opsem_simp_time,seahorn_total_time
byte_cursor_eq_c_str,TRUE,1603,720,109,619,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.07,0.05,n/a,n/a,n/a,0.00,0.08
byte_cursor_eq_c_str_ignore_case,TRUE,1513,720,109,619,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.08,0.06,n/a,n/a,n/a,0.01,0.10
byte_cursor_eq_ignore_case,TRUE,1659,1416,430,3368,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1.10,1.06,n/a,n/a,0.00,0.01,1.13
byte_cursor_from_array,TRUE,765,579,65,254,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.02,0.01,n/a,n/a,0.00,0.00,0.03
byte_cursor_from_buf,TRUE,1689,1214,320,1199,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.04,0.02,n/a,n/a,0.00,0.01,0.06
byte_cursor_from_c_str,TRUE,1655,1476,339,1499,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.44,0.42,n/a,n/a,0.00,0.01,0.46
byte_cursor_from_string,TRUE,1015,774,108,586,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.04,0.02,n/a,n/a,0.00,0.01,0.05
byte_cursor_left_trim_pred,TRUE,1248,1098,295,1176,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.04,0.02,n/a,n/a,0.00,0.00,0.06
byte_cursor_read,TRUE,1466,1104,237,990,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.28,0.25,n/a,n/a,0.00,0.01,0.29
byte_cursor_read_and_fill_buffer,TRUE,2186,1578,424,1676,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.54,0.49,n/a,n/a,0.00,0.02,0.55
byte_cursor_read_be16,TRUE,1431,1052,200,859,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.06,0.03,n/a,n/a,0.00,0.01,0.07
byte_cursor_read_be32,TRUE,1432,1083,200,884,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.08,0.05,n/a,n/a,0.00,0.01,0.10
byte_cursor_read_be64,TRUE,1454,1090,200,935,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.10,0.07,n/a,n/a,0.00,0.01,0.12
byte_cursor_read_u8,TRUE,1372,1038,197,824,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.07,0.04,n/a,n/a,0.00,0.01,0.08
byte_cursor_right_trim_pred,TRUE,1247,1066,305,1235,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.06,0.03,n/a,n/a,0.00,0.00,0.07
byte_cursor_satisfies_pred,TRUE,1085,995,215,904,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.05,0.02,n/a,n/a,0.00,0.00,0.07
byte_cursor_trim_pred,TRUE,1335,1327,425,1748,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.15,0.12,n/a,n/a,0.00,0.01,0.16
hash_ptr,TRUE,2144,512,23,95,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.02,0.01,n/a,n/a,n/a,0.00,0.02
hash_string,TRUE,2572,1255,216,909,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.08,0.03,n/a,n/a,n/a,0.02,0.10
hash_array_ignore_case,TRUE,558,675,107,439,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.03,0.02,n/a,n/a,0.00,0.00,0.03
hash_byte_cursor_ptr,TRUE,2754,1513,410,1522,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.05,0.02,n/a,n/a,0.00,0.00,0.08
hash_byte_cursor_ptr_ignore_case,TRUE,901,863,169,640,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.02,0.01,n/a,n/a,0.00,0.00,0.03
hash_c_string,TRUE,3289,1996,481,2040,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.23,0.18,n/a,n/a,n/a,0.02,0.24
hash_callback_string_eq,TRUE,1235,1653,560,3678,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,4.22,4.16,n/a,n/a,0.00,0.04,4.24
hash_callback_c_str_eq,TRUE,1868,2442,714,3401,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,4.84,4.77,n/a,n/a,0.00,0.03,4.86
hash_callback_string_destroy,TRUE,754,717,42,246,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.05,0.03,n/a,n/a,n/a,0.00,0.06
