job_name,result,pp_loc,opsem_loc,bmc_circuit_size,bmc_dag_size,opsem.isderef.not.solve,opsem.isderef.solve,pp.isderef.not.solve,pp.isderef.solve,opsem_crab_time,opsem_crab_solve_time,pp_crab_solve_time,pp_crab_time,bmc_time,bmc_solve_time,cda_time,gssa_time,opsem_assert_time,opsem_simp_time,seahorn_total_time
byte_cursor_read_be16,TRUE,1431,869,57,331,2,1,3,2,0.01,0.01,0.01,0.06,0.05,0.03,n/a,n/a,0.01,0.01,0.06
byte_cursor_read_be32,TRUE,1432,900,57,354,2,1,3,2,0.01,0.01,0.01,0.05,0.12,0.07,n/a,n/a,0.01,0.01,0.13
byte_cursor_read_be64,TRUE,1454,908,57,401,2,1,3,2,0.01,0.01,0.01,0.06,0.09,0.05,n/a,n/a,0.01,0.01,0.09
byte_cursor_read_u8,TRUE,1372,864,66,344,2,3,3,2,0.01,0.01,0.01,0.05,0.06,0.03,n/a,n/a,0.01,0.01,0.07
byte_cursor_right_trim_pred,TRUE,1247,868,122,593,n/a,14,4,n/a,0.02,0.01,0.01,0.06,0.06,0.02,n/a,n/a,0.01,0.01,0.08
byte_cursor_satisfies_pred,TRUE,1085,848,87,460,n/a,3,4,n/a,0.02,0.01,0.01,0.05,0.08,0.04,n/a,n/a,0.01,0.01,0.10
byte_cursor_trim_pred,TRUE,1335,1114,217,1043,10,4,5,n/a,0.03,0.01,0.02,0.08,0.19,0.13,n/a,n/a,0.01,0.01,0.20
hash_ptr,TRUE,2144,442,6,30,n/a,n/a,n/a,78,0.01,n/a,0.01,0.03,0.02,0.01,n/a,n/a,n/a,0.01,0.03
hash_string,TRUE,2572,917,180,745,24,6,84,4,0.03,0.01,0.09,0.44,0.10,0.05,n/a,n/a,n/a,0.01,0.12
hash_array_ignore_case,TRUE,558,675,106,435,8,3,1,n/a,0.01,0.01,0.01,0.02,0.04,0.02,n/a,n/a,0.01,0.01,0.05
hash_byte_cursor_ptr,TRUE,2754,1279,153,594,n/a,21,84,n/a,0.01,0.01,0.05,0.17,0.05,0.02,n/a,n/a,0.01,0.01,0.07
hash_byte_cursor_ptr_ignore_case,TRUE,901,718,64,292,n/a,n/a,1,n/a,0.01,n/a,0.01,0.03,0.04,0.02,n/a,n/a,0.01,0.01,0.05
hash_c_string,TRUE,3289,1639,398,1819,3,55,102,n/a,0.01,0.01,0.04,0.15,0.08,0.05,n/a,n/a,n/a,0.01,0.10
hash_callback_string_eq,TRUE,1235,1587,444,3228,36,37,6,17,0.16,0.04,0.02,0.07,4.88,4.63,n/a,n/a,0.01,0.04,4.90
hash_callback_c_str_eq,TRUE,1868,2251,386,3888,n/a,82,n/a,22,0.01,0.01,0.01,0.03,4.20,4.09,n/a,n/a,0.01,0.07,4.23
hash_callback_string_destroy,TRUE,754,705,22,180,1,6,1,6,0.01,0.01,0.01,0.02,0.05,0.03,n/a,n/a,n/a,0.01,0.06
hash_iter_begin,TRUE,2924,2502,671,3140,34,54,56,9,0.26,0.05,0.11,0.24,0.48,0.10,n/a,n/a,0.01,0.04,0.53
hash_iter_begin_done,TRUE,3122,3631,1238,5100,66,89,60,9,0.45,0.10,0.16,0.51,0.84,0.20,n/a,n/a,0.01,0.05,0.92
hash_iter_next,TRUE,3413,2073,457,2073,15,58,65,13,0.11,0.03,0.18,0.55,0.56,0.36,n/a,n/a,0.01,0.04,0.60
hash_iter_done,TRUE,3252,1870,363,1549,6,58,64,12,0.14,0.05,0.16,0.47,0.36,0.09,n/a,n/a,0.01,0.06,0.39
hash_iter_delete,TRUE,3067,2033,512,2878,35,62,66,14,0.16,0.05,0.18,0.55,2.10,1.77,n/a,n/a,0.01,0.11,2.13
hash_table_eq,TRUE,3783,14902,7541,28499,593,497,90,n/a,4.50,2.07,0.19,2.07,16.99,9.52,n/a,n/a,0.01,0.22,17.52
hash_table_get_entry_count,TRUE,1923,1278,174,897,n/a,36,36,n/a,0.02,0.02,0.04,0.09,0.10,0.02,n/a,n/a,0.01,0.03,0.11
hash_table_move,TRUE,1806,1141,166,873,n/a,34,34,n/a,0.03,0.02,0.03,0.08,0.15,0.03,n/a,n/a,0.01,0.05,0.17
hash_table_swap,TRUE,2852,1686,325,1590,n/a,68,68,n/a,0.05,0.04,0.09,0.25,0.29,0.14,n/a,n/a,0.01,0.05,0.31
hash_table_clean_up,TRUE,1724,1715,554,2319,25,68,35,n/a,0.19,0.05,0.04,0.17,0.51,0.21,n/a,n/a,0.01,0.03,0.54
hash_table_clear,TRUE,1978,2187,861,3248,41,117,50,n/a,0.22,0.08,0.11,0.25,0.54,0.19,n/a,n/a,0.01,0.03,0.59
hash_table_create,TRUE,3580,3768,1229,5773,78,115,88,n/a,0.41,0.14,0.16,0.52,4.16,3.42,n/a,n/a,0.01,0.11,4.24
hash_table_foreach,TRUE,2234,4219,773,3426,n/a,66,34,1,0.35,0.05,0.07,0.37,3.05,1.99,n/a,n/a,0.01,0.61,3.11
hash_table_find,TRUE,2704,3192,1075,4257,71,95,57,n/a,0.46,0.11,0.10,0.42,1.30,0.64,n/a,n/a,0.01,0.05,1.36
hash_table_init_bounded,TRUE,1756,1197,103,1916,18,n/a,18,n/a,0.02,0.01,0.03,0.05,0.41,0.29,n/a,n/a,0.01,0.07,0.44
hash_table_init_unbounded,TRUE,1655,1118,91,1065,16,n/a,16,n/a,0.03,0.01,0.02,0.04,0.19,0.07,n/a,n/a,0.01,0.06,0.21
hash_table_put,TRUE,3444,3699,1203,5354,81,106,82,n/a,0.47,0.15,0.17,0.48,3.68,2.92,n/a,n/a,0.01,0.08,3.76
hash_table_remove,TRUE,2791,2891,950,4807,74,90,82,n/a,0.61,0.13,0.12,0.32,4.21,3.24,n/a,n/a,0.01,0.17,4.26
linked_list_back,TRUE,3753,1534,215,1260,6,15,21,12,0.02,0.01,0.07,0.24,0.71,0.66,n/a,n/a,0.01,0.02,0.73
linked_list_begin,TRUE,3723,1510,214,1251,6,15,21,12,0.03,0.01,0.10,0.39,0.92,0.86,n/a,n/a,0.01,0.02,0.94
linked_list_end,TRUE,3707,1515,214,1251,6,15,21,12,0.02,0.01,0.11,0.38,0.86,0.82,n/a,n/a,0.00,0.02,0.87
